Group,Code,Name,Description,Color,Facility Map,ZoneType,ZoneGroup,Zone Points,Zone Properties
">LAM>METRORAILBUS",114,Woodley,,"#FF8E4D",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.4930576834641|34.01582872396414;-118.4930576834641|34.01596878781838;-118.49290479755025|34.01596878781838;-118.49290479755025|34.01582872396414,
">LAM>METRORAILBUS",115,Sepulveda,,"#FF8E4D",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.49272240733724|34.01595544841365;-118.49255879258733|34.01595544841365;-118.49255879258733|34.015826500726504;-118.49272240733724|34.015826500726504,
">LAM>METRORAILBUS",116,Van Nuys,,"#FF8E4D",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.49237372016529|34.015833170439265;-118.49237372016529|34.01595989488213;-118.49221010541538|34.01595989488213;-118.49221010541538|34.015833170439265,
">LAM>METRORAILBUS",117,Woodman,,"#FF8E4D",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.49204380845647|34.01595767164791;-118.49187214707952|34.01595767164791;-118.49187214707952|34.015826500726504;-118.49204380845647|34.015826500726504,
">LAM>METRORAILBUS",118,Valley College,,"#FF8E4D",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.49168975686649|34.01582872396414;-118.49168975686649|34.01596878781838;-118.49153687095266|34.01596878781838;-118.49153687095266|34.01582872396414,
">LAM>METRORAILBUS",119,Laurel Canyon,,"#FF8E4D",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.49135448073967|34.01582872396414;-118.49135448073967|34.01596878781838;-118.49119623040775|34.01596878781838;-118.49119623040775|34.01582872396414,
">LAM>METRORAILBUS",120,North Hollywood (Red),,"#FF250D",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.49089850520711|34.015975457519964;-118.49072684383013|34.015975457519964;-118.49072684383013|34.015815384537404;-118.49089850520711|34.015815384537404,
">LAM>METRORAILBUS",121,Union Station (Red),,"#FF441F",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.48786425583968|34.01360776973302;-118.48786425583968|34.01375717510431;-118.48773550980697|34.01375717510431;-118.48773550980697|34.01360776973302,
">LAM>METRORAILBUS",122,Civic Center,,"#9835F0",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.48831822013479|34.01362769019286;-118.48831822013479|34.01374107817515;-118.48811973666768|34.01374107817515;-118.48811973666768|34.01362769019286,
">LAM>METRORAILBUS",123,Pershing Square,,"#9835F0",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.48883588647466|34.01329419524953;-118.48883588647466|34.013438709885804;-118.48864813184362|34.013438709885804;-118.48864813184362|34.01329419524953,
">LAM>METRORAILBUS",124,7th St/Metro Center (Red),,"#ED1B0C",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.48921676015476|34.01341203027915;-118.48921676015476|34.0135165253573;-118.48904778098684|34.0135165253573;-118.48904778098684|34.01341203027915,
">LAM>METRORAILBUS",125,Wilshire/Vermont,,"#EA30FF",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.48962445592502|34.013861135873746;-118.48944206571203|34.013861135873746;-118.48944206571203|34.013687719143526;-118.48962445592502|34.013687719143526,
